subject,hand,mean,sd,n,note
s1,L,398.4267515923567,82.34139406884437,157,
s1,R,350.14935064935065,70.10466334777594,154,
s10,L,208.98319327731093,34.43724389342365,238,
s10,R,194.19409282700423,31.51950376354014,237,
s11,L,225.92083333333332,38.86342871328852,240,
s11,R,193.1875,30.33429935853508,240,
s12,L,273.0828025477707,47.78302479711852,157,
s12,R,278.77092511013217,45.78277336237947,227,
s13,L,209.6468085106383,40.44642362700702,235,
s13,R,210.95689655172413,42.582009948795196,232,
s14,L,234.99561403508773,37.162282262656,228,
s14,R,240.51898734177215,35.17156284370206,237,
s15,L,235.5375,30.95439096612436,240,
s15,R,235.418410041841,34.34734580499586,239,
s2,L,444.03015075376885,85.96351760524965,199,
s2,R,459.8492462311558,64.10059476657734,199,
s3,L,282.9625,37.75491669054009,240,
s3,R,265.673640167364,59.8090991058482,239,
s4,L,560.2784810126582,74.29418220525284,237,
s4,R,594.5593220338983,82.27541111676088,236,
s5,L,348.3544303797468,58.61003803682777,237,
s5,R,351.71367521367523,55.54118513015634,234,
s6,L,372.97899159663865,106.73858786335532,238,
s6,R,355.6835443037975,60.69126042907189,237,
s7,L,315.70403587443946,67.66599430615163,223,
s7,R,308.1,77.88359638044999,230,
s8,L,289.410480349345,44.75907311956581,229,
s8,R,308.570796460177,43.32899297527833,226,
s9,L,190.76036866359448,52.45878184304371,217,
s9,R,197.44725738396625,47.678415625927926,237,
ALL,L,303.8374057315234,116.74176165455512,3315,
ALL,R,299.975910693302,120.17584092933487,3404,
ALL,ALL,294.52501488981534,119.51847261416553,3358,congruent
ALL,ALL,309.23058613507885,117.03224562739469,3361,incongruent
